Section ID,Commodity code,Documents,
2,702000099,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,703200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,703900000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,704200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,707009000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,708100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Marketing standards for fresh fruit and vegetables | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,709300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,709700000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,710100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,710300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,710900000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,711400000,Voluntary - Products from organic production,
2,712200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,713200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,713400000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,713600000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,802700000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,802800000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,804500000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,805900000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,807200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,808400000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,809100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,810100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,810600000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,810700000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,812100000,Voluntary - Products from organic production,
2,813100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,813200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,813300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,902100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,902200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,902300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,902400000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,905100000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,905200000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,906200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,907100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,907200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,910300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1002100000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1002900000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1003100000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1004100000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1004900000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1007900000,Health control of feedingstuffs of non-animal origin | Voluntary - Products from organic production,
2,1008100000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1008300000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1008400000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1008500000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1008600000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1008900000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1101009000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1105100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1105200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1106100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1107200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1108200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1201100000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1201900000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1202300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1204001000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1204009000,Health control of feedingstuffs of non-animal origin | Voluntary - Products from organic production,
2,1205900000,Health control of feedingstuffs of non-animal origin | Plant health control | Voluntary - Products from organic production,
2,1206001000,Health control of feedingstuffs of non-animal origin | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1207100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Marketing standards for hemp | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1207300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Marketing standards for hemp | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1207600000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing requirements for seeds and plant propagating material | Marketing standards for hemp | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1208100000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1208900000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1209100000,Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1209300000,CITES - Endangered Species Protection | Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,1211200000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Import and marketing requirements for medicinal products for human use | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1211300000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Import and marketing requirements for medicinal products for human use | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed",
2,1211400000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Import and marketing requirements for medicinal products for human use | Labelling of foodstuffs | Plant health control | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
2,1211500000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Import and marketing requirements for medicinal products for human use | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Plant health control | Traceability, compliance and responsibility in food and feed",
2,1213000010,Health control of feedingstuffs of non-animal origin | Voluntary - Products from organic production,
2,1213000090,Health control of feedingstuffs of non-animal origin | Voluntary - Products from organic production,
2,1214100000,Health control of feedingstuffs of non-animal origin | Voluntary - Products from organic production,
2,1301200000,Voluntary - Products from organic production,
2,1301900000,CITES - Endangered Species Protection | Import and marketing requirements for medicinal products for human use | Voluntary - Products from organic production,
2,1401100000,Voluntary - Products from organic production,
2,1401200000,Voluntary - Products from organic production,
2,1401900000,Voluntary - Products from organic production,
2,1404200000,Plant health control | Voluntary - Products from organic production,
3,1501900000,"Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed",
3,1503003000,Health control of products of animal origin not intended for human consumption,
3,1503009000,"Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
3,1505001000,Health control of products of animal origin not intended for human consumption,
3,1505009000,Health control of products of animal origin not intended for human consumption,
3,1510001000,"Control of contaminants in foodstuffs | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for olive oil | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
3,1510009000,"Control of contaminants in foodstuffs | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for olive oil | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
3,1518001000,"Control of contaminants in foodstuffs | Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Traceability, compliance and responsibility in food and feed",
3,1521100000,CITES - Endangered Species Protection | Voluntary - Products from organic production,
4,1602100000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Import requirements for seal products | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
4,1603001000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of fishery products intended for human consumption | Health control of fishery products not intended for human consumption | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of fishery products | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
4,1603008000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of fishery products intended for human consumption | Health control of fishery products not intended for human consumption | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of fishery products | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
4,1702500000,"Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
4,1703100000,"Health control of Genetically Modified (GM) food and novel food | Health control of feedingstuffs of non-animal origin | Health control of foodstuffs of non-animal origin | Import licence for agricultural products | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
