"geographical_area_id","geographical_area_sid","rules_of_origin_scheme_sid","validity_start_date","validity_end_date"
IL,334,4,1970-01-01 00:00:00,
IN,154,2,1970-01-01 00:00:00,
IO,155,15,1970-01-01 00:00:00,
IS,53,14,1970-01-01 00:00:00,
IS,53,3,1970-01-01 00:00:00,
JM,54,9,1970-01-01 00:00:00,
JO,444,4,1970-01-01 00:00:00,
JO,444,19,1970-01-01 00:00:00,
JP,156,7,1970-01-01 00:00:00,
KE,157,17,1970-01-01 00:00:00,
KE,157,2,1970-01-01 00:00:00,
KG,272,16,1970-01-01 00:00:00,
KH,336,2,1970-01-01 00:00:00,
KI,337,2,1970-01-01 00:00:00,
KM,338,2,1970-01-01 00:00:00,
KN,446,9,1970-01-01 00:00:00,
KR,273,1,1970-01-01 00:00:00,
KY,219,15,1970-01-01 00:00:00,
LA,116,2,1970-01-01 00:00:00,
LB,276,4,1970-01-01 00:00:00,
LC,277,9,1970-01-01 00:00:00,
LI,286,14,1970-01-01 00:00:00,
LI,286,3,1970-01-01 00:00:00,
LR,278,2,1970-01-01 00:00:00,
LS,402,2,1970-01-01 00:00:00,
LS,402,13,1970-01-01 00:00:00,
MA,159,4,1970-01-01 00:00:00,
MD,279,6,1970-01-01 00:00:00,
ME,348,3,1970-01-01 00:00:00,
MG,341,21,1970-01-01 00:00:00,
MG,341,2,1970-01-01 00:00:00,
MK,180,3,1970-01-01 00:00:00,
ML,160,2,1970-01-01 00:00:00,
MM,239,2,1970-01-01 00:00:00,
MN,161,16,1970-01-01 00:00:00,
MR,280,2,1970-01-01 00:00:00,
MS,406,15,1970-01-01 00:00:00,
MU,222,21,1970-01-01 00:00:00,
MW,281,2,1970-01-01 00:00:00,
MX,59,5,1970-01-01 00:00:00,
MZ,283,2,1970-01-01 00:00:00,
MZ,283,13,1970-01-01 00:00:00,
NA,284,13,1970-01-01 00:00:00,
NC,342,15,1970-01-01 00:00:00,
NE,119,2,1970-01-01 00:00:00,
NG,162,2,1970-01-01 00:00:00,
NI,374,10,1970-01-01 00:00:00,
NO,252,3,1970-01-01 00:00:00,
NO,252,14,1970-01-01 00:00:00,
NP,311,2,1970-01-01 00:00:00,
NR,35,2,1970-01-01 00:00:00,
NU,34,2,1970-01-01 00:00:00,
PA,313,10,1970-01-01 00:00:00,
PE,141,11,1970-01-01 00:00:00,
PF,197,15,1970-01-01 00:00:00,
PG,254,12,1970-01-01 00:00:00,
PH,426,16,1970-01-01 00:00:00,
PM,427,15,1970-01-01 00:00:00,
PN,143,15,1970-01-01 00:00:00,
PS,86,4,1970-01-01 00:00:00,
PS,86,3,1970-01-01 00:00:00,
RW,38,2,1970-01-01 00:00:00,
SB,379,2,1970-01-01 00:00:00,
SC,200,21,1970-01-01 00:00:00,
SD,201,2,1970-01-01 00:00:00,
SG,316,8,1970-01-01 00:00:00,
SH,40,15,1970-01-01 00:00:00,
SL,41,2,1970-01-01 00:00:00,
SO,383,2,1970-01-01 00:00:00,
SR,95,9,1970-01-01 00:00:00,
SS,457,2,1970-01-01 00:00:00,
ST,433,2,1970-01-01 00:00:00,
SV,44,10,1970-01-01 00:00:00,
SZ,76,13,1970-01-01 00:00:00,
TC,384,15,1970-01-01 00:00:00,
TD,203,2,1970-01-01 00:00:00,
TF,370,15,1970-01-01 00:00:00,
TG,204,2,1970-01-01 00:00:00,
TJ,438,2,1970-01-01 00:00:00,
TL,67,2,1970-01-01 00:00:00,
TN,259,4,1970-01-01 00:00:00,
TR,100,3,1970-01-01 00:00:00,
TT,261,9,1970-01-01 00:00:00,
TV,386,2,1970-01-01 00:00:00,
UA,388,6,1970-01-01 00:00:00,
UG,262,2,1970-01-01 00:00:00,
UZ,45,2,1970-01-01 00:00:00,
VC,325,9,1970-01-01 00:00:00,
VG,391,15,1970-01-01 00:00:00,
VN,392,2,1970-01-01 00:00:00,
VU,107,2,1970-01-01 00:00:00,
WF,393,15,1970-01-01 00:00:00,
WS,327,12,1970-01-01 00:00:00,
WS,327,2,1970-01-01 00:00:00,
XK,88,3,1970-01-01 00:00:00,
XK,88,20,1970-01-01 00:00:00,
XS,346,3,1970-01-01 00:00:00,
YE,48,2,1970-01-01 00:00:00,
ZA,442,13,1970-01-01 00:00:00,
ZM,151,2,1970-01-01 00:00:00,
ZW,333,21,1970-01-01 00:00:00,
